Time,position,speed,result
728,-2.88846503270708,-0.0272330174674466,-3
729,-2.89961852943637,-0.0256250653936312,-3
730,-2.90965667649274,-0.0240663735599043,-3
731,-2.91869100884346,-0.0225631694389865,-3
733,-2.94072574544688,-0.018424359006125,-2
734,-2.94072574544688,-0.018424359006125,-2
735,-2.9466531709022,-0.0171746656510437,-2
736,-2.95198785381198,-0.0159906673769173,-2
737,-2.95678906843078,-0.0148717221011058,-2
738,-2.9611101615877,-0.0138166592066875,-2
739,-2.96499914542893,-0.0128238916701417,-2
740,-2.96849923088604,-0.0118915110488382,-2
741,-2.97164930779743,-0.011017367635094,-2
742,-2.97448437701769,-0.0101991377936103,-2
743,-2.97703593931592,-0.00943438024407236,-2
744,-2.97933234538433,-0.00872058282650589,-2
745,-2.9813991108459,-0.00805520109001201,-2
746,-2.98325919976131,-0.00743568987255185,-2
747,-2.98493327978518,-0.00685952888768359,-2
748,-2.98643995180666,-0.00632424320106348,-2
749,-2.98779595662599,-0.00582741936289055,-2
750,-3.03901636096339,-0.0103667178603416,-2
751,-3.08511472486705,-0.0139398824646735,-2
752,-3.12660325238035,-0.0166947469695356,-2
753,-3.16394292714231,-0.0187592397487786,-3
754,-3.19754863442808,-0.0202438865024776,-3
755,-3.22779377098527,-0.021244011507949,-3
756,-3.25501439388675,-0.0218416726473013,-3
757,-3.27951295449807,-0.0221073614437037,-3
758,-3.30156165904826,-0.0221014957543526,-3
759,-3.32140549314344,-0.0218757295884347,-3
760,-3.33926494382909,-0.0214741016981568,-3
761,-3.35533844944618,-0.0209340420900502,-3
762,-3.36980460450157,-0.0202872533865833,-3
763,-3.38282414405141,-0.0195604820029093,-3
764,-3.39454172964627,-0.0187761923621043,-3
765,-3.35508755668164,-0.0129531558294312,-2
766,-3.31957880101348,-0.00810696467967168,-2
767,-3.28762092091213,-0.00410048020156971,-2
768,-3.25885882882092,-0.000814222972291458,-1
769,-3.23297294593883,0.00185578761314685,-1
770,-3.20967565134494,0.00399993831122042,-1
771,-3.18870808621045,0.00569670099354782,-1
772,-3.1198372775894,0.0120141117562975,0
773,-3.05785354983046,0.0170110733565618,0
774,-3.00206819484742,0.0208885015192102,0
775,-2.95186137536268,0.0238203333157634,0
776,-2.90667523782641,0.0259569137378138,0
777,-2.86600771404377,0.0274279747422965,0
778,-2.82940694263939,0.0283452544085045,0
779,-2.79646624837545,0.028804798394048,0
780,-2.76681962353791,0.0288889810383977,0
781,-2.74013766118412,0.028668279169937,0
782,-2.7161238950657,0.0282028278647845,0
783,-2.69451150555913,0.0275437840289631,0
784,-2.67506035500322,0.0267345206816581,0
785,-2.6575543195029,0.0258116721635245,0
786,-2.64179888755261,0.024806048142201,0
787,-2.62761899879735,0.023743432203507,0
788,-2.61485709891761,0.0226452789711298,0
789,-2.60337138902585,0.021529322063193,0
790,-2.59303425012327,0.0204101037471322,0
791,-2.58373082511094,0.0192994358736516,0
792,-2.62535774259985,0.0132068005373959,0
793,-2.66282196833986,0.00813969790965472,0
794,-2.69653977150587,0.00395394780208786,-1
795,-2.72688579435529,0.000523950736937839,-1
796,-2.75419721491976,-0.00225958639320308,-1
797,-2.77877749342778,-0.00449165560468517,-1
798,-2.800899744085,-0.00625471510993882,-2
799,-2.8208097696765,-0.00762024615809488,-2
800,-2.83872879270885,-0.00865012384552038,-2
801,-2.85485591343797,-0.00939782353387981,-2
802,-2.86937032209417,-0.00990948204611215,-2
803,-2.88243328988475,-0.0102248306205592,-2
804,-2.89418996089628,-0.0103780146596558,-2
805,-2.90477096480665,-0.0103983135847274,-2
806,-2.91429386832599,-0.0103107725781882,-2
807,-2.92286448149339,-0.0101367566371095,-2
808,-2.93057803334405,-0.0098944361584647,-2
809,-2.93752023000964,-0.00959921220917772,-2
810,-2.93752023000964,-0.00959921220917772,-2
811,-2.93752023000964,-0.00959921220917772,-2
812,-2.94376820700868,-0.0081199532233603,-2
813,-2.94376820700868,-0.0081199532233603,-2
814,-2.96310632061839,-0.00771788767193099,-2
815,-2.96679568855656,-0.00731503569855394,-2
816,-2.9701161197009,-0.00691557524313301,-2
817,-2.9701161197009,-0.00691557524313301,-2
818,-2.97821465126196,-0.00576763264351208,-2
819,-2.97821465126196,-0.00576763264351208,-2
820,-2.98039318613576,-0.00540872286654133,-2
821,-2.98235386752218,-0.00506391871852961,-2
822,-2.93411848076997,0.000266011828545174,-1
823,-2.89070663269297,0.00458059545339031,-1
824,-2.85163596942367,0.00802960223498097,-1
825,-2.81647237248131,0.0107430017057196,0
826,-2.78482513523318,0.0128334252599607,0
827,-2.75634262170986,0.0143983340862964,0
828,-2.73070835953887,0.0155219268947653,0
829,-2.70763752358498,0.0162768178006775,0
830,-2.68687377122649,0.0167255112564596,0
831,-2.61818639410384,0.0219216978430785,0
832,-2.55636775469345,0.0259113919998091,0
833,-2.50073097922411,0.0288839303467627,0
834,-2.4506578813017,0.0310028471043275,0
835,-2.40559209317153,0.0324091412069117,0
836,-2.36503288385437,0.0332241480179358,0
837,-2.32852959546894,0.033552062054686,1
